metric_record_id,evaluation_id,project_id,manager_id,meeting_id,dimension,metric_id,metric_label,value,numerator,denominator,unit,status,formula,calculation_expression,sample_scope,anomalies,evidence_refs_json,generated_at
EVAL-PJT-CASE-04-MTG-CASE-04-04-meeting_decision_coverage_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,PJT-CASE-04,MGR-CASE-04,MTG-CASE-04-04,方向校准力,meeting_decision_coverage_rate,会议决策留痕覆盖率,1,4,4,ratio,available,value = meetings_with_decision_trace / total_meetings,4 / 4,Base Meetings decision_summary or history summary,,"[{""source_type"":""base_meeting"",""source_file"":""04_meetings/base_meetings_record_list.json"",""source_id"":""MTG-CASE-04-01"",""timestamp"":""2026-04-13 10:02 - 10:58"",""evidence_label"":""MTG-CASE-04-01 专项同步"",""excerpt"":""本轮优先级先收窄到主链路稳定和退款一致性 | 当天需收出依赖和阻塞项 | 后续推进方案另行整理""},{""source_type"":""base_meeting"",""source_file"":""04_meetings/base_meetings_record_list.json"",""source_id"":""MTG-CASE-04-02"",""timestamp"":""2026-04-16 15:00 - 16:20"",""evidence_label"":""MTG-CASE-04-02 联调状态沟通"",""excerpt"":""中台先输出冻结表草案 | 客服和仓配对草案做确认和补充 | 吴恬整理统一版并回发群里""},{""source_type"":""base_meeting"",""source_file"":""04_meetings/base_meetings_record_list.json"",""source_id"":""MTG-CASE-04-03"",""timestamp"":""2026-04-18 11:45 - 12:05"",""evidence_label"":""MTG-CASE-04-03 阶段评审前线下沟通补录"",""excerpt"":""暂不直接扩面验证 | 先收齐环境和回归输入 | 再决定是否继续推进""},{""source_type"":""base_meeting"",""source_file"":""04_meetings/base_meetings_record_list.json"",""source_id"":""MTG-CASE-04-04"",""timestamp"":""2026-04-24 19:30 - 20:35"",""evidence_label"":""MTG-CASE-04-04 专项阶段复盘"",""excerpt"":""主链路目标基本达成 | 字段冻结表后续可沉淀为固定机制 | 客服链路遗留项进入下一阶段继续跟踪""}]",2026-05-04T16:24:39.054Z
EVAL-PJT-CASE-04-MTG-CASE-04-04-task_definition_completeness_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,PJT-CASE-04,MGR-CASE-04,MTG-CASE-04-04,推进闭环力,task_definition_completeness_rate,任务定义完整率,1,20,20,ratio,available,value = tasks_with_task_name_owner_due_date / total_tasks,20 / 20,Base Tasks: owner + DDL + task_name,,"[{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-01"",""timestamp"":""2026-04-13 15:00"",""evidence_label"":""PJT-CASE-04-TASK-01 输出专项目标与边界文档"",""excerpt"":""输出专项目标与边界文档""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-02"",""timestamp"":""2026-04-13 18:00"",""evidence_label"":""PJT-CASE-04-TASK-02 整理跨团队阻塞项清单"",""excerpt"":""整理跨团队阻塞项清单""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-03"",""timestamp"":""2026-04-16 20:00"",""evidence_label"":""PJT-CASE-04-TASK-03 输出字段冻结表草案"",""excerpt"":""输出字段冻结表草案""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-04"",""timestamp"":""2026-04-17 12:00"",""evidence_label"":""PJT-CASE-04-TASK-04 确认字段冻结表最终版"",""excerpt"":""确认字段冻结表最终版""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-05"",""timestamp"":""2026-04-18 18:00"",""evidence_label"":""PJT-CASE-04-TASK-05 修正客服异常子状态映射"",""excerpt"":""修正客服异常子状态映射""}]",2026-05-04T16:24:39.054Z
EVAL-PJT-CASE-04-MTG-CASE-04-04-task_overdue_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,PJT-CASE-04,MGR-CASE-04,MTG-CASE-04-04,推进闭环力,task_overdue_rate,任务延期率,0.25,5,20,ratio,available,value = overdue_tasks / tasks_with_due_date,5 / 20,Base Tasks with due_date,"PJT-CASE-04-TASK-03 输出字段冻结表草案 DDL=2026-04-16 20:00
PJT-CASE-04-TASK-05 修正客服异常子状态映射 DDL=2026-04-18 18:00
PJT-CASE-04-TASK-12 复现工单高频异常 B DDL=2026-04-21 18:00
PJT-CASE-04-TASK-13 输出低频回写补偿脚本 DDL=2026-04-22 20:00
PJT-CASE-04-TASK-16 线下沟通补录到评审纪要 DDL=2026-04-18 17:00","[{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-03"",""timestamp"":""2026-04-16 20:00"",""evidence_label"":""PJT-CASE-04-TASK-03 输出字段冻结表草案"",""excerpt"":""输出字段冻结表草案 DDL=2026-04-16 20:00 is_overdue=true""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-05"",""timestamp"":""2026-04-18 18:00"",""evidence_label"":""PJT-CASE-04-TASK-05 修正客服异常子状态映射"",""excerpt"":""修正客服异常子状态映射 DDL=2026-04-18 18:00 is_overdue=true""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-12"",""timestamp"":""2026-04-21 18:00"",""evidence_label"":""PJT-CASE-04-TASK-12 复现工单高频异常 B"",""excerpt"":""复现工单高频异常 B DDL=2026-04-21 18:00 is_overdue=true""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-13"",""timestamp"":""2026-04-22 20:00"",""evidence_label"":""PJT-CASE-04-TASK-13 输出低频回写补偿脚本"",""excerpt"":""输出低频回写补偿脚本 DDL=2026-04-22 20:00 is_overdue=true""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-16"",""timestamp"":""2026-04-18 17:00"",""evidence_label"":""PJT-CASE-04-TASK-16 线下沟通补录到评审纪要"",""excerpt"":""线下沟通补录到评审纪要 DDL=2026-04-18 17:00 is_overdue=true""}]",2026-05-04T16:24:39.054Z
EVAL-PJT-CASE-04-MTG-CASE-04-04-task_closure_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,PJT-CASE-04,MGR-CASE-04,MTG-CASE-04-04,推进闭环力,task_closure_rate,任务关闭率,0.7,14,20,ratio,available,value = closed_tasks / total_tasks,14 / 20,Base Tasks closed flag/status,,"[{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-01"",""timestamp"":""2026-04-13 15:00"",""evidence_label"":""PJT-CASE-04-TASK-01 输出专项目标与边界文档"",""excerpt"":""输出专项目标与边界文档 status=已完成 is_closed=true""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-02"",""timestamp"":""2026-04-13 18:00"",""evidence_label"":""PJT-CASE-04-TASK-02 整理跨团队阻塞项清单"",""excerpt"":""整理跨团队阻塞项清单 status=已完成 is_closed=true""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-03"",""timestamp"":""2026-04-16 20:00"",""evidence_label"":""PJT-CASE-04-TASK-03 输出字段冻结表草案"",""excerpt"":""输出字段冻结表草案 status=已完成 is_closed=true""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-04"",""timestamp"":""2026-04-17 12:00"",""evidence_label"":""PJT-CASE-04-TASK-04 确认字段冻结表最终版"",""excerpt"":""确认字段冻结表最终版 status=已完成 is_closed=true""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-06"",""timestamp"":""2026-04-17 19:00"",""evidence_label"":""PJT-CASE-04-TASK-06 补充仓配异常子状态说明"",""excerpt"":""补充仓配异常子状态说明 status=已完成 is_closed=true""}]",2026-05-04T16:24:39.054Z
EVAL-PJT-CASE-04-MTG-CASE-04-04-closed_task_quality_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,PJT-CASE-04,MGR-CASE-04,MTG-CASE-04-04,推进闭环力,closed_task_quality_rate,任务关闭质量代理指标,1,14,14,ratio,available,value = qualified_closed_tasks / closed_tasks,14 / 14,Closed tasks with close_duration + owner + DDL + source/history trace,,"[{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-01"",""timestamp"":""2026-04-13 15:00"",""evidence_label"":""PJT-CASE-04-TASK-01 输出专项目标与边界文档"",""excerpt"":""输出专项目标与边界文档 close_duration=2h15m source_meeting_id=MTG-CASE-04-01""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-02"",""timestamp"":""2026-04-13 18:00"",""evidence_label"":""PJT-CASE-04-TASK-02 整理跨团队阻塞项清单"",""excerpt"":""整理跨团队阻塞项清单 close_duration=4h30m source_meeting_id=MTG-CASE-04-01""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-03"",""timestamp"":""2026-04-16 20:00"",""evidence_label"":""PJT-CASE-04-TASK-03 输出字段冻结表草案"",""excerpt"":""输出字段冻结表草案 close_duration=4h06m source_meeting_id=MTG-CASE-04-02""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-04"",""timestamp"":""2026-04-17 12:00"",""evidence_label"":""PJT-CASE-04-TASK-04 确认字段冻结表最终版"",""excerpt"":""确认字段冻结表最终版 close_duration=1h20m source_meeting_id=MTG-CASE-04-02""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-06"",""timestamp"":""2026-04-17 19:00"",""evidence_label"":""PJT-CASE-04-TASK-06 补充仓配异常子状态说明"",""excerpt"":""补充仓配异常子状态说明 close_duration=0h48m source_meeting_id=MTG-CASE-04-02""}]",2026-05-04T16:24:39.054Z
EVAL-PJT-CASE-04-MTG-CASE-04-04-current_meeting_action_task_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,PJT-CASE-04,MGR-CASE-04,MTG-CASE-04-04,推进闭环力,current_meeting_action_task_rate,当前会议行动项入表率,1,3,3,ratio,available,"value = min(tasks_linked_to_current_meeting, current_meeting_action_item_count) / current_meeting_action_item_count",3 / 3,Current meeting action_item_count vs Base Tasks source_meeting_id,会议行动项 3 条，任务表关联 9 条，存在会后扩展任务或重复挂载,"[{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-11"",""timestamp"":""2026-04-21 18:00"",""evidence_label"":""PJT-CASE-04-TASK-11 复现工单高频异常 A"",""excerpt"":""复现工单高频异常 A source_meeting_id=MTG-CASE-04-04""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-12"",""timestamp"":""2026-04-21 18:00"",""evidence_label"":""PJT-CASE-04-TASK-12 复现工单高频异常 B"",""excerpt"":""复现工单高频异常 B source_meeting_id=MTG-CASE-04-04""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-13"",""timestamp"":""2026-04-22 20:00"",""evidence_label"":""PJT-CASE-04-TASK-13 输出低频回写补偿脚本"",""excerpt"":""输出低频回写补偿脚本 source_meeting_id=MTG-CASE-04-04""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-14"",""timestamp"":""2026-04-22 19:00"",""evidence_label"":""PJT-CASE-04-TASK-14 更新延期事项 owner 和新 DDL"",""excerpt"":""更新延期事项 owner 和新 DDL source_meeting_id=MTG-CASE-04-04""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-15"",""timestamp"":""2026-04-23 17:00"",""evidence_label"":""PJT-CASE-04-TASK-15 清理文档中的旧版本路线图"",""excerpt"":""清理文档中的旧版本路线图 source_meeting_id=MTG-CASE-04-04""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-17"",""timestamp"":""2026-04-24 20:00"",""evidence_label"":""PJT-CASE-04-TASK-17 输出专项复盘初稿"",""excerpt"":""输出专项复盘初稿 source_meeting_id=MTG-CASE-04-04""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-18"",""timestamp"":""2026-04-21 18:00"",""evidence_label"":""PJT-CASE-04-TASK-18 新周报模板落地"",""excerpt"":""新周报模板落地 source_meeting_id=MTG-CASE-04-04""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-19"",""timestamp"":""2026-04-24 17:00"",""evidence_label"":""PJT-CASE-04-TASK-19 客服链路遗留项顺延说明"",""excerpt"":""客服链路遗留项顺延说明 source_meeting_id=MTG-CASE-04-04""},{""source_type"":""base_task"",""source_file"":""03_task_risk_register/base_tasks_record_list.json"",""source_id"":""PJT-CASE-04-TASK-20"",""timestamp"":""2026-04-24 18:00"",""evidence_label"":""PJT-CASE-04-TASK-20 监控看板接入评估"",""excerpt"":""监控看板接入评估 source_meeting_id=MTG-CASE-04-04""}]",2026-05-04T16:24:39.054Z
EVAL-PJT-CASE-04-MTG-CASE-04-04-meeting_action_item_coverage_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,PJT-CASE-04,MGR-CASE-04,MTG-CASE-04-04,推进闭环力,meeting_action_item_coverage_rate,会议行动项留痕覆盖率,1,4,4,ratio,available,value = meetings_with_action_item_count_gt_0 / total_meetings,4 / 4,Base Meetings action_item_count,,"[{""source_type"":""base_meeting"",""source_file"":""04_meetings/base_meetings_record_list.json"",""source_id"":""MTG-CASE-04-01"",""timestamp"":""2026-04-13 10:02 - 10:58"",""evidence_label"":""MTG-CASE-04-01 专项同步"",""excerpt"":""专项同步 action_item_count=3""},{""source_type"":""base_meeting"",""source_file"":""04_meetings/base_meetings_record_list.json"",""source_id"":""MTG-CASE-04-02"",""timestamp"":""2026-04-16 15:00 - 16:20"",""evidence_label"":""MTG-CASE-04-02 联调状态沟通"",""excerpt"":""联调状态沟通 action_item_count=3""},{""source_type"":""base_meeting"",""source_file"":""04_meetings/base_meetings_record_list.json"",""source_id"":""MTG-CASE-04-03"",""timestamp"":""2026-04-18 11:45 - 12:05"",""evidence_label"":""MTG-CASE-04-03 阶段评审前线下沟通补录"",""excerpt"":""阶段评审前线下沟通补录 action_item_count=2""},{""source_type"":""base_meeting"",""source_file"":""04_meetings/base_meetings_record_list.json"",""source_id"":""MTG-CASE-04-04"",""timestamp"":""2026-04-24 19:30 - 20:35"",""evidence_label"":""MTG-CASE-04-04 专项阶段复盘"",""excerpt"":""专项阶段复盘 action_item_count=3""}]",2026-05-04T16:24:39.054Z
EVAL-PJT-CASE-04-MTG-CASE-04-04-high_risk_resolution_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,PJT-CASE-04,MGR-CASE-04,MTG-CASE-04-04,风险治理力,high_risk_resolution_rate,高等级风险收口率,0.6667,2,3,ratio,available,value = resolved_high_risks / total_high_risks,2 / 3,Base Risks level=high,,"[{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-01"",""timestamp"":""MTG-CASE-04-02"",""evidence_label"":""PJT-CASE-04-RISK-01 high resolved"",""excerpt"":""字段口径不一致导致联调返工 followup_status=resolved""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-02"",""timestamp"":""MTG-CASE-04-03"",""evidence_label"":""PJT-CASE-04-RISK-02 high tracking"",""excerpt"":""退款回写高峰场景尾延迟 followup_status=tracking""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-03"",""timestamp"":""MTG-CASE-04-03"",""evidence_label"":""PJT-CASE-04-RISK-03 high resolved"",""excerpt"":""晚间环境窗口不稳定 followup_status=resolved""}]",2026-05-04T16:24:39.054Z
EVAL-PJT-CASE-04-MTG-CASE-04-04-risk_mitigation_action_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,PJT-CASE-04,MGR-CASE-04,MTG-CASE-04-04,风险治理力,risk_mitigation_action_rate,风险缓释动作覆盖率,1,10,10,ratio,available,value = risks_with_suggested_action / total_risks,10 / 10,Base Risks suggested_action completeness,,"[{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-01"",""timestamp"":""MTG-CASE-04-02"",""evidence_label"":""PJT-CASE-04-RISK-01 high resolved"",""excerpt"":""推进字段冻结表最终版并明确适配责任人""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-02"",""timestamp"":""MTG-CASE-04-03"",""evidence_label"":""PJT-CASE-04-RISK-02 high tracking"",""excerpt"":""继续跟踪长尾点并补充压测结论到文档""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-03"",""timestamp"":""MTG-CASE-04-03"",""evidence_label"":""PJT-CASE-04-RISK-03 high resolved"",""excerpt"":""提前确认环境负责人并保留备选窗口""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-04"",""timestamp"":""MTG-CASE-04-04"",""evidence_label"":""PJT-CASE-04-RISK-04 medium closed"",""excerpt"":""补齐样本后关闭该项并同步影响范围""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-05"",""timestamp"":""MTG-CASE-04-04"",""evidence_label"":""PJT-CASE-04-RISK-05 medium tracking"",""excerpt"":""保留遗留项说明并顺延到下一阶段""}]",2026-05-04T16:24:39.054Z
EVAL-PJT-CASE-04-MTG-CASE-04-04-open_risk_rate,EVAL-PJT-CASE-04-MTG-CASE-04-04,PJT-CASE-04,MGR-CASE-04,MTG-CASE-04-04,风险治理力,open_risk_rate,风险未收口占比,0.6,6,10,ratio,available,value = open_or_tracking_risks / total_risks,6 / 10,Base Risks followup_status,"PJT-CASE-04-RISK-02 tracking
PJT-CASE-04-RISK-05 tracking
PJT-CASE-04-RISK-06 tracking
PJT-CASE-04-RISK-07 open
PJT-CASE-04-RISK-08 tracking
PJT-CASE-04-RISK-09 open","[{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-02"",""timestamp"":""MTG-CASE-04-03"",""evidence_label"":""PJT-CASE-04-RISK-02 high tracking"",""excerpt"":""退款回写高峰场景尾延迟 followup_status=tracking""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-05"",""timestamp"":""MTG-CASE-04-04"",""evidence_label"":""PJT-CASE-04-RISK-05 medium tracking"",""excerpt"":""客服高频异常 B 未及时复现 followup_status=tracking""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-06"",""timestamp"":""MTG-CASE-04-03"",""evidence_label"":""PJT-CASE-04-RISK-06 medium tracking"",""excerpt"":""线下结论未及时留痕 followup_status=tracking""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-07"",""timestamp"":""MTG-CASE-04-01"",""evidence_label"":""PJT-CASE-04-RISK-07 medium open"",""excerpt"":""旧版文档口径误导执行 followup_status=open""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-08"",""timestamp"":""MTG-CASE-04-04"",""evidence_label"":""PJT-CASE-04-RISK-08 medium tracking"",""excerpt"":""低频回写补偿脚本准备不足 followup_status=tracking""}]",2026-05-04T16:24:39.054Z
