evidence_id,evaluation_id,关联评估任务,来源类型,来源名称,原始链接,证据时间,证据片段,关联对象,关联维度,关联指标,证据质量,是否关键证据,是否存在冲突,冲突说明,可见范围,权限状态,关联维度结果,关联指标结果,关联复核项
EVD-base_meeting-04_meetings_base_meetings_record_list_json-MTG-CASE-04-01,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,会议纪要,04_meetings/base_meetings_record_list.json,,2026-04-13 10:02 - 10:58,本轮优先级先收窄到主链路稳定和退款一致性 | 当天需收出依赖和阻塞项 | 后续推进方案另行整理,MTG-CASE-04-01,方向校准力,会议决策留痕覆盖率,中,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-meeting_decision_coverage_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-meeting_action_item_coverage_rate",
EVD-base_meeting-04_meetings_base_meetings_record_list_json-MTG-CASE-04-02,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,会议纪要,04_meetings/base_meetings_record_list.json,,2026-04-16 15:00 - 16:20,中台先输出冻结表草案 | 客服和仓配对草案做确认和补充 | 吴恬整理统一版并回发群里,MTG-CASE-04-02,方向校准力,会议决策留痕覆盖率,中,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-meeting_decision_coverage_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-meeting_action_item_coverage_rate",
EVD-base_meeting-04_meetings_base_meetings_record_list_json-MTG-CASE-04-03,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,会议纪要,04_meetings/base_meetings_record_list.json,,2026-04-18 11:45 - 12:05,暂不直接扩面验证 | 先收齐环境和回归输入 | 再决定是否继续推进,MTG-CASE-04-03,方向校准力,会议决策留痕覆盖率,中,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-meeting_decision_coverage_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-meeting_action_item_coverage_rate",
EVD-base_meeting-04_meetings_base_meetings_record_list_json-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,会议纪要,04_meetings/base_meetings_record_list.json,,2026-04-24 19:30 - 20:35,主链路目标基本达成 | 字段冻结表后续可沉淀为固定机制 | 客服链路遗留项进入下一阶段继续跟踪,MTG-CASE-04-04,方向校准力,会议决策留痕覆盖率,中,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-meeting_decision_coverage_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-meeting_action_item_coverage_rate",
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-01,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-13 15:00,输出专项目标与边界文档,PJT-CASE-04-TASK-01,推进闭环力,任务定义完整率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_definition_completeness_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_closure_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-closed_task_quality_rate",
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-02,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-13 18:00,整理跨团队阻塞项清单,PJT-CASE-04-TASK-02,推进闭环力,任务定义完整率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_definition_completeness_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_closure_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-closed_task_quality_rate",
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-03,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-16 20:00,输出字段冻结表草案,PJT-CASE-04-TASK-03,推进闭环力,任务定义完整率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_definition_completeness_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_overdue_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_closure_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-closed_task_quality_rate",
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-17 12:00,确认字段冻结表最终版,PJT-CASE-04-TASK-04,推进闭环力,任务定义完整率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_definition_completeness_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_closure_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-closed_task_quality_rate",
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-05,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-18 18:00,修正客服异常子状态映射,PJT-CASE-04-TASK-05,推进闭环力,任务定义完整率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_definition_completeness_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_overdue_rate",
EVD-base_task-03_task_risk_register_base_tasks_record_list_json-PJT-CASE-04-TASK-12,EVAL-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,Base任务表,03_task_risk_register/base_tasks_record_list.json,,2026-04-21 18:00,复现工单高频异常 B DDL=2026-04-21 18:00 is_overdue=true,PJT-CASE-04-TASK-12,推进闭环力,任务延期率,高,false,false,,仅摘要可见,仅摘要可见,,"MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-task_overdue_rate
MET-EVAL-PJT-CASE-04-MTG-CASE-04-04-current_meeting_action_task_rate",
