report_item_id,report_id,evaluation_id,section,item_index,dimension,level,content,evidence_refs_json,generated_at
RPT-PJT-CASE-04-MTG-CASE-04-04-score_overview-01,RPT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,score_overview,1,方向校准力,,方向校准力 8,"[{""source_type"":""chat"",""source_file"":""02_chats/im_messages_search_user.json"",""source_id"":""om_case04msg0002"",""timestamp"":""2026-04-13 09:16"",""excerpt"":""今天先把本轮目标和边界说清楚，不在范围里的先别展开。"",""evidence_note"":""项目启动时，管理者明确要求聚焦目标与边界，体现方向校准。""},{""source_type"":""current_meeting"",""source_file"":""current_meeting_facts"",""source_id"":""MTG-CASE-04-04"",""timestamp"":""2026-04-24 19:30 - 20:35"",""excerpt"":""字段冻结表后续可沉淀为固定机制"",""evidence_note"":""会议结论表明管理者从具体问题中提炼出机制化改进方向，进行方向校准。""},{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""meeting_decision_coverage_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 1"",""evidence_note"":""metric_id: meeting_decision_coverage_rate, formula: value = meetings_with_decision_trace / total_meetings, calculation.expression: 4 / 4, value: 1。表明所有会议均有决策留痕，支持方向校准的留痕习惯。""}]",2026-05-04T16:24:39.054Z
RPT-PJT-CASE-04-MTG-CASE-04-04-score_overview-02,RPT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,score_overview,2,推进闭环力,,推进闭环力 5,"[{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""current_meeting_action_task_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""会议行动项 3 条，任务表关联 9 条，存在会后扩展任务或重复挂载"",""evidence_note"":""metric_id: current_meeting_action_task_rate, formula: value = min(tasks_linked_to_current_meeting, current_meeting_action_item_count) / current_meeting_action_item_count, calculation.expression: 3 / 3, value: 1。指标anomalies明确指出数量不一致问题。""},{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""task_overdue_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 0.25"",""evidence_note"":""metric_id: task_overdue_rate, formula: value = overdue_tasks / tasks_with_due_date, calculation.expression: 5 / 20, value: 0.25。""},{""source_type"":""current_meeting"",""source_file"":""current_meeting_facts"",""source_id"":""MTG-CASE-04-04"",""timestamp"":""2026-04-24 19:30 - 20:35"",""excerpt"":""客服链路遗留项进入下一阶段继续跟踪"",""evidence_note"":""会议结论之一，虽然明确了遗留项转入下一阶段，但未体现具体的跟踪owner、新DDL或转入机制，闭环动作不完整。""}]",2026-05-04T16:24:39.054Z
RPT-PJT-CASE-04-MTG-CASE-04-04-score_overview-03,RPT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,score_overview,3,风险治理力,,风险治理力 6,"[{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""high_risk_resolution_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 2 / 3"",""evidence_note"":""metric_id=high_risk_resolution_rate, formula=resolved_high_risks / total_high_risks, calculation.expression=2 / 3, value=0.6667。指标显示仍有1个高风险未收口。""},{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""open_risk_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 6 / 10"",""evidence_note"":""metric_id=open_risk_rate, formula=open_or_tracking_risks / total_risks, calculation.expression=6 / 10, value=0.6。指标显示60%的风险未收口。""},{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""repeated_risk_type_count"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 3"",""evidence_note"":""metric_id=repeated_risk_type_count, formula=sum(count(risk_type) where count(risk_type) > 1), calculation.expression=3, value=3。anomalies显示“交付风险:3”。""}]",2026-05-04T16:24:39.054Z
RPT-PJT-CASE-04-MTG-CASE-04-04-score_overview-04,RPT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,score_overview,4,协同调度力,,协同调度力 7,"[{""source_type"":""chat"",""source_file"":""02_chats/im_messages_search_user.json"",""source_id"":""om_case04msg0007"",""timestamp"":""2026-04-15 16:16"",""excerpt"":""今天 5 点前必须统一一版口径，谁负责适配今天就定下来，不能继续空转。"",""evidence_note"":""管理者在字段口径阻塞时，明确要求定下责任方和截止时间，推动解决，体现协同调度力。""},{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""calendar_stakeholder_coverage_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 1, expression = 4 / 4"",""evidence_note"":""metric_id: calendar_stakeholder_coverage_rate, formula: value = calendar_events_with_required_stakeholders / total_calendar_events, calculation.expression: 4 / 4, value: 1。表明所有会议都覆盖了必要的干系人。""},{""source_type"":""calendar"",""source_file"":""06_calendar/calendar_events_instance_view.json"",""source_id"":""cal_case04_evt_0418_offline"",""timestamp"":""2026-04-18T11:45:00+08:00"",""excerpt"":""阶段评审前线下沟通补录 attendees=陈昊,林玥,沈薇,唐可"",""evidence_note"":""存在线下沟通事件，且备注‘线下沟通无完整录音，后续由吴恬补录摘要’，表明存在信息留痕风险。""}]",2026-05-04T16:24:39.054Z
RPT-PJT-CASE-04-MTG-CASE-04-04-score_overview-05,RPT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,score_overview,5,组织行为健康度,,组织行为健康度 6,"[{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""high_pressure_language_sample_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 3 / 7"",""evidence_note"":""metric_id=high_pressure_language_sample_rate, formula=manager_messages_matching_pressure_keywords / manager_chat_messages, calculation.expression=3 / 7, value=0.4286。指标显示42.86%的管理者消息命中高压关键词。""},{""source_type"":""chat"",""source_file"":""02_chats/im_messages_search_user.json"",""source_id"":""om_case04msg0007"",""timestamp"":""2026-04-15 16:16"",""excerpt"":""今天 5 点前必须统一一版口径，谁负责适配今天就定下来，不能继续空转。"",""evidence_note"":""管理者陈昊在群聊中使用高压推进语言示例。此为观察项，需人工复核语境。""},{""source_type"":""base_risk"",""source_file"":""03_task_risk_register/base_risks_record_list.json"",""source_id"":""PJT-CASE-04-RISK-10"",""timestamp"":""MTG-CASE-04-04"",""excerpt"":""复盘沟通语气引发成员压力 followup_status=record_only"",""evidence_note"":""风险记录显示有成员反馈压力，但仅记录。此为观察项，需人工复核上下文。""}]",2026-05-04T16:24:39.054Z
RPT-PJT-CASE-04-MTG-CASE-04-04-key_evidence-01,RPT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,key_evidence,1,,strength,方向校准力：专项启动时明确要求聚焦目标与边界，复盘时能提炼机制化改进方向。,"[{""source_type"":""chat"",""source_file"":""02_chats/im_messages_search_user.json"",""source_id"":""om_case04msg0002"",""timestamp"":""2026-04-13 09:16"",""excerpt"":""今天先把本轮目标和边界说清楚，不在范围里的先别展开。"",""evidence_note"":""项目启动时明确聚焦目标与边界。""},{""source_type"":""current_meeting"",""source_file"":""current_meeting_facts"",""source_id"":""MTG-CASE-04-04"",""timestamp"":""2026-04-24 19:30 - 20:35"",""excerpt"":""字段冻结表后续可沉淀为固定机制"",""evidence_note"":""复盘会议中从具体问题提炼机制化改进方向。""}]",2026-05-04T16:24:39.054Z
RPT-PJT-CASE-04-MTG-CASE-04-04-key_evidence-02,RPT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,key_evidence,2,,strength,协同调度力：能主动通过即时通讯推动解决依赖阻塞，且会议覆盖了必要干系人。,"[{""source_type"":""chat"",""source_file"":""02_chats/im_messages_search_user.json"",""source_id"":""om_case04msg0007"",""timestamp"":""2026-04-15 16:16"",""excerpt"":""今天 5 点前必须统一一版口径，谁负责适配今天就定下来，不能继续空转。"",""evidence_note"":""管理者在字段口径阻塞时，明确要求定下责任方和截止时间，推动解决。""},{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""calendar_stakeholder_coverage_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 1, expression = 4 / 4"",""evidence_note"":""metric_id: calendar_stakeholder_coverage_rate, calculation.expression: 4 / 4, value: 1。表明所有会议都覆盖了必要的干系人。""}]",2026-05-04T16:24:39.054Z
RPT-PJT-CASE-04-MTG-CASE-04-04-key_evidence-03,RPT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,key_evidence,3,,risk,推进闭环力：会议行动项（3条）与任务表关联项（9条）严重脱节，且存在25%的任务延期率。,"[{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""current_meeting_action_task_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""会议行动项 3 条，任务表关联 9 条，存在会后扩展任务或重复挂载"",""evidence_note"":""metric_id: current_meeting_action_task_rate, anomalies字段明确指出该不一致问题。""},{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""task_overdue_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 0.25"",""evidence_note"":""metric_id: task_overdue_rate, calculation.expression: 5 / 20, value: 0.25。""}]",2026-05-04T16:24:39.054Z
RPT-PJT-CASE-04-MTG-CASE-04-04-key_evidence-04,RPT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,key_evidence,4,,risk,风险治理力：存在高等级风险未收口（收口率66.67%）、整体60%风险未收口及同类风险复发（交付风险复发3次）的情况。,"[{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""high_risk_resolution_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 2 / 3"",""evidence_note"":""metric_id=high_risk_resolution_rate, calculation.expression=2 / 3, value=0.6667。""},{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""open_risk_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 6 / 10"",""evidence_note"":""metric_id=open_risk_rate, calculation.expression=6 / 10, value=0.6。""},{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""repeated_risk_type_count"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""value = 3"",""evidence_note"":""metric_id=repeated_risk_type_count, calculation.expression=3, value=3。anomalies显示“交付风险:3”。""}]",2026-05-04T16:24:39.054Z
RPT-PJT-CASE-04-MTG-CASE-04-04-risk_alerts-01,RPT-PJT-CASE-04-MTG-CASE-04-04,EVAL-PJT-CASE-04-MTG-CASE-04-04,risk_alerts,1,,high,推进闭环流程混乱：会议行动项与任务表严重脱节（3 vs 9），闭环源头断裂，可能导致任务跟踪失效和权责不清。,"[{""source_type"":""hard_metrics"",""source_file"":""hard_metrics_result"",""source_id"":""current_meeting_action_task_rate"",""timestamp"":""2026-04-13 ~ 2026-04-24"",""excerpt"":""会议行动项 3 条，任务表关联 9 条，存在会后扩展任务或重复挂载"",""evidence_note"":""metric_id: current_meeting_action_task_rate, anomalies字段明确指出该不一致问题。""}]",2026-05-04T16:24:39.054Z
